ASIN,Brand,Est. Monthly Revenue,Price,FBA Sellers,Est. Monthly Units Sold,Amazon In-Stock Rate,Product name,Bought in past month,Reviews: Rating,Reviews: Review Count,Buy Box: Current,Buy Box Seller,FBA Fees:,Referral Fee based on current Buy Box price,"Count of retrieved live offers: New, FBA",Product Codes: EAN,Product Codes: UPC,Product Codes: PartNumber
B0CJG43RM1,Canon,125093.7,77.94,1,1605,0.971,"Canon PG-285 XL / CL-286 XL Genuine Ink Value Pack (2 Cartridges), Compatible with TR7820, TS7720/7722",1000,4.7,130,82.57,Amazon,3.9,12.39,1,660685252820,660685252820,6196C004
B00E58RQ14,Canon,57518.89,21.17,8,2717,0.507,"Canon CL-246 XL Genuine Color Ink Cartridge, Compatible with iP2820, MG2420/2924/2920/3020/2522/2525, MX492, TS3120/302/302a/202/202a/4520/3320",1000,4.7,7027,,-,3.68,,1,13803215540,13803215540,8280B001
B079B5LTGW,Canon,57267.72,32.52,5,1761,0,"Canon KP-108IN 3 Color Ink Cassette and 108 Sheets 4 x 6 Paper Glossy for SELPHY CP1300, CP1200, CP910, CP900, CP760, CP770, CP780 CP800. Bonus: Quality Photo Microfiber Cloth",1000,4.7,3847,31.99,The Tudak Store (98% A22KFM5Z7ZZZ12),5.52,4.8,4,638370181342,638370181342,108
B08FBHTD9B,Canon,246450,159,1,1550,1,"Canon imageFORMULA R10 - Portable Document Scanner, USB Powered, Duplex Scanning, Document Feeder, Easy Setup, Convenient, Perfect for Mobile Users",1000,4.1,1969,159,Amazon,7,12.72,1,13803338522,13803338522,6144B002AA
B07G5XZVLQ,Canon,122387.6,67.88,3,1803,1,"Canon Canoscan Lide 300 Scanner (PDF, AUTOSCAN, COPY, SEND)",1000,4.2,6328,69.99,Amazon,7.72,5.6,2,13803306507,13803306507,2995C002
B0BTTV6CT1,Canon,965151.6,747.6,5,1291,1,"Canon EOS R50 Mirrorless Camera RF-S18-45mm F4.5-6.3 is STM Lens Kit, 24.2 Megapixel CMOS (APS-C) Sensor, 4K Video, Hybrid Camera, Photo and Video, Vlogging, Content Creator, RF Mount, Black",1000,4.6,1193,799,Focus Camera LLC (97% AXCB29L39I26U),5.98,63.92,1,13803351415,13803351415,5811C012
B0061G4B6G,Canon,168047.6,59.91,8,2805,1,"Canon PG-240 XL / CL-241 XL Genuine Ink Value Pack (2 Cartridges) with 50-Sheet Photo Paper, Compatible with MG2120/3120/4120/2220/3220/4220/3520/3620, MX372/392/432/452/472/512/522/532, TS5120",1000,4.7,9607,64,Amazon,4.15,9.6,2,"768202200887, 660685040960, 778853592590","0778853592590, 0660685040960, 0768202200887",5206B005
B00NUWUHIA,Canon,58381.18,35.62,2,1639,1,"Canon PGI-1200XL Genuine Pigment Black Ink Tank, Compatible with MB2120, MB2720, B2020, MB2320 (Optional) Printers",1000,4.7,2490,34.45,Amazon,3.9,5.17,2,"767872131163, 013803238013","0013803238013, 0767872131163, 4923133158119",9183B001
B0746VB8D9,Canon,83411.25,44.25,2,1885,1,"Canon P23-DHV-3 Printing Calculator with Double Check Function, Tax Calculation and Currency Conversion",1000,4.6,3544,38.39,Shoplet (86% AQNACJEM8PUJ1),5.52,3.07,1,13803291117,13803291117,2279C001
B074H6FKT1,Canon,100548,52.92,2,1900,0,Canon Pixma PG-240 Black & CL-241 Color Ink Cartridges,1000,4.7,6971,55.31,OfficeCrave (64% A5GF519YQ2D2R),3.9,8.3,2,769560436284,769560436284,Canon 240/241
