Supplier Name,Product name,MPN,Supplier Cost,Supplier stock,Brand
Wortmann,Ubiquiti Access-Point UniFi UAP-IW-HD 802.11ac (In-Wall),UAP-IW-HD,161.28,23,Ubiquiti 
Wortmann,"Ubiquiti Switch UniFi 48xRJ45 2,5G/4xSFP+ 10G Managed PoE+",USW-ENTERPRISE-48-POE,1454.88,130,Ubiquiti 
Wortmann,"Ubiquiti Switch UniFi 8xRJ45 2,5G/2xSFP+ 10G Managed PoE+",USW-ENTERPRISE-8-POE,461.44,20,Ubiquiti 
Wortmann,Ubiquiti Switch UniFi 24xRJ45 10G/2xSFP28 25G Managed,USW-ENTERPRISEXG-24,1342.88,48,Ubiquiti 
Wortmann,"Ubiquiti PoE Adapter/Injector U-POE-AF 48VDC 15,4W Gigabit",U-POE-AF,8.40,584,Ubiquiti 
Wortmann,Ubiquiti PoE Adapter/Injector POE-50-60W 50VDC 60W Gigabit,POE-50-60W,29.01,20,Ubiquiti 
Wortmann,Ubiquiti UniFi Protect G4 Doorbell UVC-G4-DOORBELL,UVC-G4-DOORBELL,189.28,12,Ubiquiti 
Wortmann,Ubiquiti Access-Point UniFi U6-Pro 802.11ax (ohne PoE-Adapter),U6-PRO,152.21,"2,226",Ubiquiti 
Wortmann,Ubiquiti PoE+ Adapter/Injector U-POE-AT 48VDC 30W Gigabit,U-POE-AT,15.34,"1,410",Ubiquiti 
Wortmann,Ubiquiti UniFi SmartPower Redundant Power System USP-RPS,USP-RPS,409.81,35,Ubiquiti 
Wortmann,Ubiquiti Switch UniFi 4xRJ45 10GBit / 1xRJ45 1GBit PoE+ Input,USW-FLEX-XG,290.08,18,Ubiquiti 
Wortmann,Ubiquiti UniFi Dream Machine Special Edition UDM-SE (Sec. Gateway/Netw. Appliance),UDM-SE,470.29,18,Ubiquiti 
Wortmann,Ubiquiti SFP+ UACC-OM-MM-10G-D-2 Multi-Mode Fiber LC (2er-Pack),UACC-OM-MM-10G-D-2,37.97,387,Ubiquiti 
Wortmann,Ubiquiti SFP UACC-CM-RJ45-1G (1er-Pack),UACC-CM-RJ45-1G,17.36,174,Ubiquiti 
Wortmann,Ubiquiti Access-Point UniFi U6-Mesh 802.11ax (inkl. PoE-Adapter),U6-MESH,175.73,116,Ubiquiti 
Wortmann,Ubiquiti SFP+ UACC-OM-SM-10G-D-2 Single-Mode Fiber LR LC-Duplex (2er-Pack),UACC-OM-SM-10G-D-2,87.25,12,Ubiquiti 
Wortmann,Ubiquiti SFP UACC-OM-MM-1G-D-2 Multi-Mode Fiber LC (2er-Pack),UACC-OM-MM-1G-D-2,17.02,151,Ubiquiti 
Wortmann,"Ubiquiti Network Video Recorder UNVR (4 HDD bays for 2.5""/3.5"")",UNVR,307.89,17,Ubiquiti 
Wortmann,Ubiquiti Access-Point UniFi U6-Enterprise 802.11ax (ohne PoE-Adapter),U6-ENTERPRISE,274.29,229,Ubiquiti 
Wortmann,Ubiquiti Switch UniFi 8xRJ45 GBit Managed 4xPoE 52W,USW-LITE-8-POE,107.41,333,Ubiquiti 
Wortmann,"Ubiquiti Direct Attach Copper Cable SFP+ 10Gbps 0,5m UACC-DAC-SFP10-0.5M",UACC-DAC-SFP10-0.5M,13.66,185,Ubiquiti 
Wortmann,Ubiquiti SFP UACC-OM-SM-1G-S-2 Single-Mode Fiber LC-Simplex (2er-Pack),UACC-OM-SM-1G-S-2,24.08,11,Ubiquiti 
Wortmann,Ubiquiti Access-Point UniFi U6-IW In-Wall 802.11ax (ohne PoE-Adapter),U6-IW,177.52,188,Ubiquiti 
Wortmann,Ubiquiti SFP28 UACC-OM-SFP28-SR Multi-Mode Fiber LC,UACC-OM-SFP28-SR,50.29,17,Ubiquiti 
Wortmann,Ubiquiti Access-Point UniFi 6 Extender U6-Extender 802.11ax,U6-EXTENDER,153.33,77,Ubiquiti 
Wortmann,Ubiquiti NanoBeam AC Gen2 5GHz Bridge NBE-5AC-GEN2,NBE-5AC-GEN2,93.97,36,Ubiquiti 
Wortmann,Ubiquiti Camera G4 Instant 2K 30fps WiFi UVC-G4-INS,UVC-G4-INS,107.41,98,Ubiquiti 
Wortmann,Ubiquiti SFP+ UACC-CM-RJ45-MG 10/5/2.5 Gbps (1er-Pack),UACC-CM-RJ45-MG,70.45,712,Ubiquiti 
Wortmann,Ubiquiti Camera G5 Bullet 2K HD 30fps UVC-G5-BULLET,UVC-G5-BULLET,127.57,124,Ubiquiti 
Wortmann,Ubiquiti Camera G5 Dome 2K HD 30fps UVC-G5-DOME,UVC-G5-DOME,181.33,52,Ubiquiti 
Wortmann,Ubiquiti Access-Point UniFi U6-Plus (U6+) 802.11ax (ohne PoE-Adapter),U6+,92.85,"1,731",Ubiquiti 
Wortmann,Ubiquiti Camera G5 Flex 2K HD 30fps UVC-G5-FLEX,UVC-G5-FLEX,132.05,62,Ubiquiti 
Wortmann,Ubiquiti Access-Point UniFi U6-Enterprise-IW 802.11ax (ohne PoE-Adapter),U6-ENTERPRISE-IW,296.69,19,Ubiquiti 
Wortmann,Ubiquiti Camera G5 Pro 4K 30fps UVC-G5-PRO,UVC-G5-PRO,346.08,510,Ubiquiti 
Wortmann,Ubiquiti Camera AI Pro 8MP (Black) UVC-AI-PRO,UVC-AI-PRO,509.49,92,Ubiquiti 
Wortmann,Ubiquiti Direct Attach Copper Cable SFP+ 10Gbps 1m UACC-DAC-SFP10-1M,UACC-DAC-SFP10-1M,14.45,122,Ubiquiti 
Wortmann,Ubiquiti Direct Attach Copper Cable SFP+ 10Gbps 3m UACC-DAC-SFP10-3M,UACC-DAC-SFP10-3M,20.05,97,Ubiquiti 
Wortmann,Ubiquiti Direct Attach Cable SFP+ 10Gbps 5m UACC-AOC-SFP10-5M,UACC-AOC-SFP10-5M,44.69,65,Ubiquiti 
Wortmann,Ubiquiti Direct Attach Copper Cable SFP28 25Gbps 1m UACC-DAC-SFP28-1M,UACC-DAC-SFP28-1M,27.89,32,Ubiquiti 
Wortmann,"Ubiquiti UniFi Express UX (1x GbE WAN, 1x GbE LAN, WiFi 6 AP)",UX,120.40,480,Ubiquiti 
Wortmann,Ubiquiti UniFi Gateway Lite (1xWAN 1G/1xLAN 1G) UXG-Lite,UXG-LITE,100.69,84,Ubiquiti 
Wortmann,Ubiquiti Switch UniFi 16xRJ45 GBit/8xRJ45 2.5G/2xSFP+ Managed PoE+ 400W Max,USW-PRO-MAX-24-POE,812.00,125,Ubiquiti 
Wortmann,Ubiquiti Switch UniFi 32xRJ45 GBit/16xRJ45 2.5G/4xSFP+ Managed PoE+ 720W Max,USW-PRO-MAX-48-POE,1186.08,207,Ubiquiti 
Wortmann,Ubiquiti Switch UniFi 16xRJ45 GBit/8xRJ45 2.5G/2xSFP+ Managed Max,USW-PRO-MAX-24,423.25,31,Ubiquiti 
Wortmann,Ubiquiti Access-Point UniFi U7-Pro 802.11be WiFi 7 (ohne PoE-Adapter),U7-PRO,170.80,"3,097",Ubiquiti 
Wortmann,Ubiquiti Direct Attach Copper Cable SFP28 25Gbps 3m UACC-DAC-SFP28-3M,UACC-DAC-SFP28-3M,37.97,17,Ubiquiti 
