Supplier Name,Brand,MPN,Product name,Supplier stock,Supplier Cost
Rutronik,2J,2J4884PGF-300LL100-C20GST,2J4884PGF 5G/GNSS Combo Adhes.,0,0
Rutronik,2J,2J4A50PCFA,2J4A50PCFa LTE/ISM/GPS,0,99.12
Rutronik,2J,2J4A50PCFAX-1000LL195 5V,2J4A50PCFax LTE/ISM/GPS 5V,0,184.85
Rutronik,2J,2J4A50PCFAX-500LL195 5V,2J4A50PCFax LTE/ISM/GPS 5V,0,148.55
Rutronik,2J,2J4A50PCFC-100LL195-C91N,LTE/GNSS/WiFi/ISM Antenna,0,47.21
Rutronik,2J,2J4A86PCFA-300LL195-LL100_SMA,2J4A86PCFa 2x5G/2xWLAN/GNSS Adh,0,0
Rutronik,2J,2J4B00P-060RG174-C95-C96,"Ant. 2J4B00P ,Fakra C+D, 60cm",0,16.88
Rutronik,2J,2J4C01MP-010RG174-C109N,Magnetic GPS antenna 2J435MP,0,11.88
Rutronik,2J,2J4C01MP-010RG174-C20N,Magnetic GPS antenna 2J435MP,0,9
Rutronik,2J,2J4C01MP-250RG174-C20NR,2J4C01MP Magnet. GPS ant. SMA/m,0,12.32
Rutronik,2J,2J4D01G-500RG174-C22N,2J4D01G GPS/Glon.SMB/F,0,9.69
Rutronik,2J,2J4D01GP-100RG174-C51N,2J4D01GP Adhesive GPS/Glo MCX/M,0,5.22
Rutronik,2J,2J4D01MG-300RG174-C20N,2J4D01  Magnetic GPS/Glon SMA/M,0,8.54
Rutronik,2J,2J4D01MG-300RG174-C22N,2J4D01 Magnetic GPS/Glon.SMB/F,0,15.12
Rutronik,2J,2J4D01MPCF-100RG174-C20NST,2J4D01MPCF Magnetic Active GNSS,1,13.04
Rutronik,2J,2J4D01P-050RG174-C20N,2J4D01P Adhesive GPS SMA/m,0,7.48
Rutronik,2J,2J5004P-015RG174-SE,"Antenna 2J5004P 3,0M SE",0,2.89
Rutronik,2J,2J5004P-200RG174-C109NST,2J5004P IBar Adhesive Ant.,0,4.31
Rutronik,2J,2J5004P-250RG174-C20N,"Antenna 2J5004P 3,0M SMA/M",0,3.89
Rutronik,2J,2J5004P-300RG174-C20N,"Ant. 2J5004P 3,0M SMA/M",0,3.89
Rutronik,2J,2J5004PL-015RG174-C05N,Adhesive Ant 2J500 15CM MMCX/M,0,4.68
Rutronik,2J,2J5004PL-150RG174-C05N,"Adhesive Ant 2J500 1,5M MMCX/M",0,5.68
Rutronik,2J,2J5004PL-150RG174-C20N,"Adhesive Ant 2J500 1,5M SMA/m",0,5.44
Rutronik,2J,2J5004PL-300RG174-C05N,"Antenna 2J5004PL 3,0M MMCX/M",0,3.4
Rutronik,2J,2J500LW-300RG174W-C20N,"Antenna 2J500 3,0M SMA/M WHITE",0,3.71
Rutronik,2J,2J501-100RG174-C44N,"Ant. 2J501,1m RG174,MMCX/m R/A",0,4.57
Rutronik,2J,2J501-300RG174-C20N,"Antenna 2J501, 3m RG174,SMA/m",0,3.99
Rutronik,2J,2J5015PCB-015MC113-UFL,"Antenna 2J5015 15CM 1,13MM UFL",0,2.7
Rutronik,2J,2J5015PCB-020RG174-C20N,"Antenna 2J5015 20CM 1,13MM UFL",0,3.29
Rutronik,2J,2J5024P-020LL100-C20N,2J5024P LTE 20cmLL SMA/male NI,0,6.17
Rutronik,2J,2J5024P-030LL100-C109NST,2J5024P LTE 30cmLL100 SMA/male RA NI,0,5.75
Rutronik,2J,2J5024P-100LL100-C20N,2J5024P LTE 100cmLL SMA/male,0,11.1
Rutronik,2J,2J5024P-100LL100-C44N,2J5024P LTE 100cmLL MMCX/male,0,11.1
Rutronik,2J,2J5024P-150D100-C20N,"2J5024P LTE 1,5mDACAR100 SMA/male NI",0,7.86
Rutronik,2J,2J5024P-150LL100-C20GST,2J5024P IBar Adhesive LTE Ant.,0,4.91
Rutronik,2J,2J5024P-300LL100-C04NST,2J5024P LTE 3m LL100 FME/f NI,0,6.49
