ASIN,Brand,Est. Monthly Revenue,Price,FBA Sellers,Est. Monthly Units Sold,Amazon In-Stock Rate,UPC,Part Number,Product name,Bought in past month,Reviews: Rating,Reviews: Review Count,Buy Box: Current,Buy Box Seller,FBA Fees:,Referral Fee based on current Buy Box price,"Count of retrieved live offers: New, FBA",Product Codes: EAN,Product Codes: UPC,Product Codes: PartNumber
B0CWPPHCXW,Garmin,4892.94,1630.98,1,3,0,094148642086,010-02752-10_AG2,"Garmin Descent Mk3i, Dive Computer Smartwatch 51MM, Carbon Gray DLC Titanium with Black Silicone Band and Multisport GPS Training Fitness Watch, Air Integration Bundle with Accessories",,4.8,5,1630.98,6ave (97% ALAQLAKJ574UN),7.19,130.48,0,0094148642086,094148642086,010-02752-10_AG2
B08MCP4XSX,Garmin,4546.65,89.15,1,51,1,753759263676,010-02441-33,"Garmin vivofit jr. 3, Fitness Tracker for Kids, Swim-Friendly, Up To 1-year Battery Life, Disney The Little Mermaid",,4.4,227,89.99,Amazon,4.15,13.5,1,0753759263676,753759263676,010-02441-33
B0BLXPGLNN,Garmin,,,,Not in SS,,,,"Garmin Forerunner 745, GPS Running Watch, Detailed Training Stats and On-Device Workouts, Essential Smartwatch Functions, Red (Renewed)",,5,2,249.99,Escape To Nature (100% AJ8MVEQQ9DH2X),4.01,27,1,0657768167607,657768167607,010-02445-02-cr
B07YBLL4G2,Garmin,179.55,19.95,0,9,0.469,753759217723,010-12832-10,"Garmin ELEC 010-12832-10 Power Cable for Foot Pedal, Black, Small",,4.8,4,19.95,GPS City (98% A2XENS8LQP1A6D),3.9,2.99,0,0753759217723,753759217723,010-12832-10
B0B3ND8M4M,Garmin,0,40.4,0,0,0.822,753759298234,010-11251-3B,"Garmin Quick Release Band, Whitestone, 22mm",,5,1,40.1,Amazon,3.06,6.42,1,0753759298234,753759298234,010-11251-3B
B0007POMS4,Garmin,,,,Not in SS,,,,Garmin Slip Case – Handheld Device Accessory (Black),,3.5,5,21.64,OnAdventure (69% A32O6458IYUQCY),3.9,3.25,0,"0787659007382, 0753759094614, 0753759050597","753759094614, 787659007382, 753759050597",010-11345-00
B07X1ZCMN8,Garmin,289.44,144.72,1,2,0.089,753759233198,010-12863-07,Garmin QuickFit 22 Watch Band - Heathered Black Nylon,,4.5,5616,149.99,The Watch Co. (98% A191F1AQT3JCJB),3.68,24,1,0753759233198,753759233198,010-12863-07
B0DHSL2R17,Garmin,219.99,219.99,1,1,0,703670677007,010-02839-01-cr,"Garmin Lily 2, Small and Stylish Smartwatch, Hidden Display, Patterned Lens, Up to 5 Days Battery Life, Lilac (Renewed)",,,,209.99,Escape To Nature (100% AJ8MVEQQ9DH2X),4.01,16.8,0,0703670677007,703670677007,010-02839-01-cr
B07ZF8KHXZ,Garmin,1096.56,274.14,0,4,0,786513950567,E19GRFNX5XSPHSGB-cr,Garmin fenix 5X Sapphire GPS Watch - Slate Gray with Black Band (Renewed),,4.2,176,234.99,R3NEW (85% A1BLA4PO74TMAU),5.1,18.8,0,0786513950567,786513950567,E19GRFNX5XSPHSGB-cr
B09NMKWJX1,Garmin,4092.34,292.31,1,14,0.017,753759278830,010-02626-11,"Garmin Instinct 2, Rugged GPS Outdoor Watch, Multi-GNSS Support, Tracback Routing, Electric Lime",,4.5,3066,294.95,AMZDistributor(SN Recorded) (91% A34XSYLZECTRUU),4.01,23.6,1,0753759278830,753759278830,010-02626-11
B002EOSQII,Garmin,0,414.99,0,0,0,001910636570,010-00777-00,Garmin Foretrex 401 Waterproof Hiking GPS,,4.6,1981,468.99,Tradefx Direct (100% A2390SKQGBJCAC),4.15,37.52,1,"0168141455179, 0041114406951, 0069060228922, 5052276238248, 0012303519639, 0100177414140, 0999996673216, 0763615866552, 0971482738487, 0753759986520, 6521515330221, 0071021126819, 0792745203616, 0021113176390, 0172302682816, 0797749823198, 0031112102504, 0611104310188, 5053086357525, 0617297053581, 0999993438818, 0888982827491, 0069060032901, 0999991843706, 4260319457773, 5052415992871, 0163120556069, 7426900838827, 0031111730104, 7537590969224, 0014444590614, 0031111282122, 4052305265239, 0072091542950, 0012301396720, 0001910636570, 0753759096922, 0041114204984","014444590614, 021113176390, 163120556069, 888982827491, 069060032901, 999993438818, 999991843706, 001910636570, 012303519639, 617297053581, 753759096922, 041114204984, 072091542950, 172302682816, 012301396720, 999996673216, 031111282122, 041114406951, 971482738487, 763615866552, 753759986520, 031112102504, 031111730104, 797749823198, 168141455179, 071021126819, 069060228922, 611104310188, 792745203616, 100177414140",010-00777-00
B0D6DMQ6MN,Garmin,0,159.99,1,0,0,796575547933,010-02839-00-cr,"Garmin Lily 2, Small and Stylish Smartwatch, Hidden Display, Patterned Lens, Up to 5 Days Battery Life, Coconut (Renewed)",,,,209.99,Escape To Nature (100% AJ8MVEQQ9DH2X),4.26,16.8,0,0796575547933,796575547933,010-02839-00-cr
B0DHYMJY84,Garmin,1543.45,308.69,0,5,0,094148670706,010-02862-11_AG2-V1,"Garmin Vivoactive 5 Health and Fitness GPS Smartwatch for Men and Women with Cream Gold Aluminum Bezel, Ivory Case Silicone Band, 1.2” AMOLED Touchscreen Display, 11 Days Battery Life (Bundle)",,,,310.99,6ave (97% ALAQLAKJ574UN),4.26,24.88,0,0094148670706,094148670706,010-02862-11_AG2-V1
B09RGNDVCD,Garmin,,,,Not in SS,,,,Garmin QuickRelease 20mm Venu 2 Plus Silicone White/Cream Gold,,4.8,6,59.99,Line Wolf (86% A9P5NVMW8BAO3),3.68,9.6,0,0753759288396,753759288396,010-12932-53
B0CVN7P18R,Garmin,,,,Not in SS,,,,"Garmin GPSMAP 1643xsv US and Canada 16"""" Chartplotter with Ultra High-Definition Scanning Sonar, Advanced Marine Navigation with Stunning Display and Powerful Processing",,,,4999.99,Pro Anglers Choice (77% A2Y91OL9JVE725),14.93,400,0,0753759335076,753759335076,010-02919-03
