ASIN,Brand,Est. Monthly Revenue,Price,FBA Sellers,Est. Monthly Units Sold,Amazon In-Stock Rate,Product name,Bought in past month,Reviews: Rating,Reviews: Review Count,Buy Box: Current,Buy Box Seller,FBA Fees:,Referral Fee based on current Buy Box price,"Count of retrieved live offers: New, FBA",Product Codes: EAN,Product Codes: UPC,Product Codes: PartNumber
B0DCGVQLGB,BELL,536.91,178.97,1,3,0,BELL MX-9 MIPS Dirt Helmet (Gloss Rift Orange/White - Large),,4.8,1158,143.96,Movatik (99% A1F1CRO6ZMXV7T),13.61,21.59,1,196178113991,196178113991,7163874
B0CCWMTRV8,BELL,217.38,108.69,3,2,0,BELL MX-9 MIPS Dirt Helmet (Decay Matte Black - 2X-Large),,4.8,1157,119.95,Powersports Monkey (94% A2EPE15NO912P),13.61,17.99,2,196178103701,196178103701,7157406
B0CTNXDFNH,BELL,599.85,199.95,4,3,0,BELL MX-9 MIPS Dirt Helmet (Gloss Twitch DBK 24 Black/White - Medium),,4.8,1158,159.96,Movatik (99% A1F1CRO6ZMXV7T),13.23,23.99,4,196178053556,196178053556,7160343
B094WX9Y4D,BELL,370.86,123.62,1,3,0,BELL MX-9 MIPS Dirt Helmet (Offset Matte Black/Red - Medium),,4.8,1157,150,Movatik (99% A1F1CRO6ZMXV7T),13.23,22.5,2,768686439520,768686439520,7136307
B0CCW78XWQ,BELL,,,,,,BELL MX-9 MIPS Dirt Helmet (Alter Ego Matte Black/Red - Large),,4.8,1159,154,ROSEVILLE HONDA MOTORSPORTS (57% A2VFA2JUSRSOSU),13.23,23.1,0,196178103732,196178103732,7157414
B0CCW7H69T,BELL,360.06,120.02,0,3,0,BELL MX-9 MIPS Dirt Helmet (Dart Gloss Charcoal/Orange - X-Large),,4.8,1158,154.96,XtremeHelmets (97% A1K67YQIQFK3SY),13.61,23.24,1,196178103640,196178103640,7157385
B094WX4N3G,BELL,539.85,179.95,0,3,0,BELL MX-9 MIPS Dirt Helmet (Offset Matte Metallic Blue/White - X-Large),,4.8,1157,180,MS-ZONE LLC (95% A8FBV673VV0WG),14.93,27,1,768686439780,768686439780,7136339
B0BHVZ1FD7,BELL,423.93,141.31,0,3,0,Bell MX-9 MIPS Dirt Helmet (Offset Matte Black/Red - 2X-Large),,4.8,1157,150,ROSEVILLE HONDA MOTORSPORTS (57% A2VFA2JUSRSOSU),14.55,22.5,0,768686493157,768686493157,7144818
B0DCHG1TQB,BELL,539.85,179.95,0,3,0,BELL MX-9 MIPS Dirt Helmet (Matte Nardo Gray - Small),,4.8,1158,143.96,Movatik (99% A1F1CRO6ZMXV7T),13.61,21.59,1,196178114233,196178114233,7163946
B0BHHK2QPC,BELL,305.04,101.68,1,3,0,Bell MX-9 MIPS Dirt Helmet (Spark Gloss Blue/Yellow - Medium),,4.8,1159,101.68,-,13.61,,0,196178032131,196178032131,7150261
